Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
AB1 2DU,57.142279,-2.108282,393546,805714,NJ935057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2DW,57.142674,-2.107903,393569,805758,NJ935057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2DX,57.141472,-2.10552,393713,805624,NJ937056,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2DY,57.143477,-2.103378,393843,805847,NJ938058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2DZ,57.143352,-2.102716,393883,805833,NJ938058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EA,57.143655,-2.105659,393705,805867,NJ937058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2EB,57.14282,-2.105128,393737,805774,NJ937057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2ED,57.142111,-2.104696,393763,805695,NJ937056,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2EE,57.142606,-2.102979,393867,805750,NJ938057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EF,57.141852,-2.102531,393894,805666,NJ938056,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EG,57.141923,-2.103539,393833,805674,NJ938056,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EH,57.14133,-2.104214,393792,805608,NJ937056,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EJ,57.141087,-2.104462,393777,805581,NJ937055,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2EL,57.142559,-2.105457,393717,805745,NJ937057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2EN,57.143069,-2.108202,393551,805802,NJ935058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2EP,57.142393,-2.111339,393361,805727,NJ933057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","West End North - 01","Large urban area",
AB1 2EQ,57.141971,-2.110528,393410,805680,NJ934056,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2ER,57.140892,-2.11226,393305,805560,NJ933055,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 02","Large urban area",
AB1 2ES,57.140823,-2.108393,393539,805552,NJ935055,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 02","Large urban area",
AB1 2ET,57.143469,-2.102452,393899,805846,NJ938058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EU,57.143019,-2.104137,393797,805796,NJ937057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EW,57.142444,-2.104118,393798,805732,NJ937057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2EX,57.143658,-2.102089,393921,805867,NJ939058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2EY,57.143593,-2.104584,393770,805860,NJ937058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1995-12-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2EZ,57.14318,-2.10417,393795,805814,NJ937058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1993-08-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2FA,57.144997,-2.101432,393961,806016,NJ939060,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1994-10-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 2FB,57.147289,-2.08873,394730,806270,NJ947062,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1973-08-01,1992-01-01,"","",,,"","","Hanover South - 01","Large urban area",
AB1 2FD,57.143418,-2.099593,394072,805840,NJ940058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen North",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 01","Large urban area",
AB1 2FF,57.142086,-2.102498,393896,805692,NJ938056,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1989-04-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2FG,57.142965,-2.104351,393784,805790,NJ937057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1986-10-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
