Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
AB1 0AA,57.101478,-2.242852,385386,801193,NJ853011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AB,57.102558,-2.246309,385177,801314,NJ851013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AD,57.10056,-2.248342,385053,801092,NJ850010,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AE,57.084447,-2.255708,384600,799300,NO846993,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1994-02-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AF,57.096659,-2.258103,384460,800660,NJ844006,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-12-01,1992-07-01,"","",,,"","","Culter - 06","Accessible small town",
AB1 0AG,57.097089,-2.267513,383890,800710,NJ838007,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-12-01,1992-07-01,"","",,,"","","Culter - 01","Accessible small town",
AB1 0AJ,57.099015,-2.252854,384779,800921,NJ847009,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AL,57.101769,-2.254688,384669,801228,NJ846012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 06","Accessible small town",
AB1 0AN,57.097556,-2.245483,385225,800757,NJ852007,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AP,57.098247,-2.245768,385208,800834,NJ852008,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AQ,57.098557,-2.252504,384800,800870,NJ848008,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AR,57.09136,-2.224832,386474,800063,NJ864000,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AS,57.083842,-2.234438,385889,799228,NO858992,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AT,57.089303,-2.239769,385568,799837,NO855998,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AX,57.095683,-2.24788,385079,800549,NJ850005,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BA,57.090699,-2.255867,384593,799996,NO845999,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BB,57.086319,-2.258592,384426,799509,NO844995,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BD,57.079129,-2.268852,383801,798711,NO838987,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BE,57.090615,-2.257483,384495,799987,NO844999,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1991-03-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BJ,57.081424,-2.262319,384198,798965,NO841989,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BL,57.081941,-2.246568,385153,799019,NO851990,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BN,57.069315,-2.258012,384454,797616,NO844976,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BP,57.067255,-2.272212,383592,797390,NO835973,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BQ,57.067838,-2.284733,382833,797458,NO828974,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BR,57.062166,-2.278342,383218,796825,NO832968,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BS,57.051405,-2.265256,384007,795624,NO840956,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BT,57.057096,-2.250046,384932,796254,NO849962,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BX,57.069305,-2.235583,385814,797610,NO858976,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BY,57.082284,-2.236671,385753,799055,NO857990,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1986-05-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BZ,57.082729,-2.238588,385637,799105,NO856991,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1986-05-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DA,57.064198,-2.228427,386246,797040,NO862970,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DB,57.070239,-2.244907,385249,797716,NO852977,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DD,57.097814,-2.228007,386284,800782,NJ862007,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DJ,57.102797,-2.243454,385350,801340,NJ853013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DL,57.101478,-2.242852,385386,801193,NJ853011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DN,57.101897,-2.239883,385566,801239,NJ855012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DP,57.101386,-2.238956,385622,801182,NJ856011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DQ,57.103208,-2.239743,385575,801385,NJ855013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DR,57.104582,-2.235642,385824,801537,NJ858015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0DS,57.105427,-2.234954,385866,801631,NJ858016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0DT,57.10552,-2.233683,385943,801641,NJ859016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0DU,57.106631,-2.234747,385879,801765,NJ858017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DX,57.106394,-2.231955,386048,801738,NJ860017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0DY,57.101381,-2.241531,385466,801182,NJ854011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1994-02-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0EA,57.106107,-2.231689,386064,801706,NJ860017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0EB,57.107174,-2.233,385985,801825,NJ859018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0ED,57.106887,-2.232619,386008,801793,NJ860017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0EE,57.107664,-2.230246,386152,801879,NJ861018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0EF,57.109093,-2.239203,385610,802040,NJ856020,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0EH,57.107012,-2.237622,385705,801808,NJ857018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0EJ,57.108255,-2.240618,385524,801947,NJ855019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0EL,57.110386,-2.244396,385296,802185,NJ852021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0EN,57.10478,-2.240001,385560,801560,NJ855015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0EP,57.104542,-2.246883,385143,801535,NJ851015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0EQ,57.108525,-2.258647,384432,801981,NJ844019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0ER,57.115959,-2.255892,384602,802808,NJ846028,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0ES,57.123897,-2.274709,383466,803696,NJ834036,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0ET,57.114643,-2.24946,384991,802660,NJ849026,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0EU,57.103944,-2.240227,385546,801467,NJ855014,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0EW,57.106772,-2.2362,385791,801781,NJ857017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0EX,57.12169,-2.242538,385413,803443,NJ854034,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0HA,57.10269,-2.238485,385651,801327,NJ856013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0HB,57.102776,-2.235597,385826,801336,NJ858013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0HD,57.103741,-2.233705,385941,801443,NJ859014,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0HJ,57.104809,-2.233992,385924,801562,NJ859015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0HL,57.1064,-2.228538,386255,801738,NJ862017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0HN,57.107547,-2.225293,386452,801865,NJ864018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0HP,57.108141,-2.229688,386186,801932,NJ861019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0HQ,57.11,-2.224961,386473,802138,NJ864021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0HR,57.10814,-2.225082,386465,801931,NJ864019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0HS,57.112646,-2.222104,386647,802432,NJ866024,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible rural area",
AB1 0HT,57.106974,-2.219214,386820,801800,NJ868018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0HU,57.10764,-2.233317,385966,801877,NJ859018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0HX,57.112536,-2.218603,386859,802419,NJ868024,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible rural area",
AB1 0JA,57.108719,-2.228123,386281,801996,NJ862019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JB,57.108657,-2.232399,386022,801990,NJ860019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JD,57.109681,-2.232554,386013,802104,NJ860021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JE,57.108882,-2.236891,385750,802016,NJ857020,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JG,57.110831,-2.237085,385739,802233,NJ857022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-06-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JH,57.110886,-2.231637,386069,802238,NJ860022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JJ,57.11041,-2.231601,386071,802185,NJ860021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JL,57.112907,-2.236916,385750,802464,NJ857024,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0JN,57.110701,-2.244002,385320,802220,NJ853022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-07-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",
AB1 0JP,57.106698,-2.222927,386595,801770,NJ865017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0JQ,57.105644,-2.219487,386803,801652,NJ868016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0JR,57.105041,-2.219962,386774,801585,NJ867015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0JS,57.106231,-2.223106,386584,801718,NJ865017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
AB1 0JT,57.110772,-2.234988,385866,802226,NJ858022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1985-11-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JU,57.112005,-2.234087,385921,802363,NJ859023,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1985-11-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JW,57.111382,-2.235487,385836,802294,NJ858022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1985-11-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JX,57.111112,-2.235716,385822,802264,NJ858022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-09-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JY,57.110198,-2.239244,385608,802163,NJ856021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-06-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0JZ,57.110642,-2.237447,385717,802212,NJ857022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-06-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",
AB1 0LA,57.100942,-2.272063,383616,801140,NJ836011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 03","Accessible small town",
AB1 0LB,57.101765,-2.27334,383539,801232,NJ835012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 02","Accessible small town",
AB1 0LD,57.102361,-2.271942,383624,801298,NJ836012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 02","Accessible small town",
AB1 0LE,57.094139,-2.273218,383543,800383,NJ835003,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1992-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible small town",
AB1 0LJ,57.094259,-2.26335,384141,800394,NJ841003,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible rural area",
AB1 0LL,57.093439,-2.268741,383814,800304,NJ838003,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible rural area",
AB1 0LN,57.088283,-2.268555,383823,799730,NO838997,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible rural area",
AB1 0LP,57.09376,-2.269799,383750,800340,NJ837003,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible small town",
AB1 0LQ,57.094156,-2.273433,383530,800385,NJ835003,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible small town",
AB1 0LR,57.095084,-2.272565,383583,800488,NJ835004,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible small town",
AB1 0LS,57.093973,-2.275098,383429,800365,NJ834003,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 01","Accessible rural area",
AB1 0LT,57.088668,-2.293292,382324,799779,NO823997,"","Aberdeenshire","Stonehaven and Lower Deeside", S12000034,S13002506,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 05","Accessible rural area",
AB1 0LX,57.097006,-2.272497,383588,800702,NJ835007,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 03","Accessible small town",
AB1 0NA,57.098683,-2.273763,383512,800889,NJ835008,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 03","Accessible small town",
AB1 0NB,57.102377,-2.285246,382818,801303,NJ828013,"","Aberdeenshire","Stonehaven and Lower Deeside", S12000034,S13002506,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 05","Accessible rural area",
